State,State_Code,Age_Group,Age_Group_Code,Deaths,Population,Crude_Rate
MI,26,< 1 year,1,16513,2189548,754.2
MI,26,1-4 years,1-4,2476,8984552,27.6
MI,26,5-9 years,5-9,1628,11904087,13.7
MI,26,10-14 years,10-14,2199,12683216,17.3
MI,26,15-19 years,15-19,7256,13019169,55.7
MI,26,20-24 years,20-24,11378,12375594,91.9
MI,26,25-34 years,25-34,26242,22301395,117.7
MI,26,35-44 years,35-44,49239,24765695,198.8
MI,26,45-54 years,45-54,115016,26087734,440.9
MI,26,55-64 years,55-64,191420,20626668,928
MI,26,65-74 years,65-74,274382,12987899,2112.6
MI,26,75-84 years,75-84,427877,8058748,5309.5
MI,26,85+ years,85,474306,3199389,14824.9
PA,42,< 1 year,1,18290,2572396,711
PA,42,1-4 years,1-4,2737,10431141,26.2
PA,42,5-9 years,5-9,1753,13726581,12.8
PA,42,10-14 years,10-14,2206,14739753,15
PA,42,15-19 years,15-19,8725,15774935,55.3
PA,42,20-24 years,20-24,15348,14958514,102.6
PA,42,25-34 years,25-34,32770,27740914,118.1
PA,42,35-44 years,35-44,59178,30763470,192.4
PA,42,45-54 years,45-54,136990,33103646,413.8
PA,42,55-64 years,55-64,238574,26714360,893.1
PA,42,65-74 years,65-74,376351,18015718,2089
PA,42,75-84 years,75-84,656610,12439257,5278.5
PA,42,85+ years,85,764078,5149994,14836.5
WI,55,< 1 year,1,7909,1237057,639.3
WI,55,1-4 years,1-4,1289,5021160,25.7
WI,55,5-9 years,5-9,830,6581940,12.6
WI,55,10-14 years,10-14,1082,6948165,15.6
WI,55,15-19 years,15-19,3958,7254278,54.6
WI,55,20-24 years,20-24,5802,7002449,82.9
WI,55,25-34 years,25-34,11819,12718334,92.9
WI,55,35-44 years,35-44,21651,13946680,155.2
WI,55,45-54 years,45-54,50420,14721249,342.5
WI,55,55-64 years,55-64,88371,11405986,774.8
WI,55,65-74 years,65-74,135863,7221632,1881.3
WI,55,75-84 years,75-84,230047,4676737,4919
WI,55,85+ years,85,298588,2021389,14771.4
NC,42,< 1 year,1,18290,2572396,711
NC,42,1-4 years,1-4,2737,10431141,26.2
NC,42,5-9 years,5-9,1753,13726581,12.8
NC,42,10-14 years,10-14,2206,14739753,15
NC,42,15-19 years,15-19,8725,15774935,55.3
NC,42,20-24 years,20-24,15348,14958514,102.6
NC,42,25-34 years,25-34,32770,27740914,118.1
NC,42,35-44 years,35-44,59178,30763470,192.4
NC,42,45-54 years,45-54,136990,33103646,413.8
NC,42,55-64 years,55-64,238574,26714360,893.1
NC,42,65-74 years,65-74,376351,18015718,2089
NC,42,75-84 years,75-84,656610,12439257,5278.5
NC,42,85+ years,85,764078,5149994,14836.5
